"island","body_mass_g"
"Torgersen",3750
"Torgersen",3800
"Torgersen",3250
"Torgersen",3450
"Torgersen",3650
"Torgersen",3625
"Torgersen",4675
"Torgersen",3475
"Torgersen",4250
"Torgersen",3300
"Torgersen",3700
"Torgersen",3200
"Torgersen",3800
"Torgersen",4400
"Torgersen",3700
"Torgersen",3450
"Torgersen",4500
"Torgersen",3325
"Torgersen",4200
"Biscoe",3400
"Biscoe",3600
"Biscoe",3800
"Biscoe",3950
"Biscoe",3800
"Biscoe",3800
"Biscoe",3550
"Biscoe",3200
"Biscoe",3150
"Biscoe",3950
"Dream",3250
"Dream",3900
"Dream",3300
"Dream",3900
"Dream",3325
"Dream",4150
"Dream",3950
"Dream",3550
"Dream",3300
"Dream",4650
"Dream",3150
"Dream",3900
"Dream",3100
"Dream",4400
"Dream",3000
"Dream",4600
"Dream",3425
"Dream",2975
"Dream",3450
"Dream",4150
"Biscoe",3500
"Biscoe",4300
"Biscoe",3450
"Biscoe",4050
"Biscoe",2900
"Biscoe",3700
"Biscoe",3550
"Biscoe",3800
"Biscoe",2850
"Biscoe",3750
"Biscoe",3150
"Biscoe",4400
"Biscoe",3600
"Biscoe",4050
"Biscoe",2850
"Biscoe",3950
"Biscoe",3350
"Biscoe",4100
"Torgersen",3050
"Torgersen",4450
"Torgersen",3600
"Torgersen",3900
"Torgersen",3550
"Torgersen",4150
"Torgersen",3700
"Torgersen",4250
"Torgersen",3700
"Torgersen",3900
"Torgersen",3550
"Torgersen",4000
"Torgersen",3200
"Torgersen",4700
"Torgersen",3800
"Torgersen",4200
"Dream",3350
"Dream",3550
"Dream",3800
"Dream",3500
"Dream",3950
"Dream",3600
"Dream",3550
"Dream",4300
"Dream",3400
"Dream",4450
"Dream",3300
"Dream",4300
"Dream",3700
"Dream",4350
"Dream",2900
"Dream",4100
"Biscoe",3725
"Biscoe",4725
"Biscoe",3075
"Biscoe",4250
"Biscoe",2925
"Biscoe",3550
"Biscoe",3750
"Biscoe",3900
"Biscoe",3175
"Biscoe",4775
"Biscoe",3825
"Biscoe",4600
"Biscoe",3200
"Biscoe",4275
"Biscoe",3900
"Biscoe",4075
"Torgersen",2900
"Torgersen",3775
"Torgersen",3350
"Torgersen",3325
"Torgersen",3150
"Torgersen",3500
"Torgersen",3450
"Torgersen",3875
"Torgersen",3050
"Torgersen",4000
"Torgersen",3275
"Torgersen",4300
"Torgersen",3050
"Torgersen",4000
"Torgersen",3325
"Torgersen",3500
"Dream",3500
"Dream",4475
"Dream",3425
"Dream",3900
"Dream",3175
"Dream",3975
"Dream",3400
"Dream",4250
"Dream",3400
"Dream",3475
"Dream",3050
"Dream",3725
"Dream",3000
"Dream",3650
"Dream",4250
"Dream",3475
"Dream",3450
"Dream",3750
"Dream",3700
"Dream",4000
"Biscoe",4500
"Biscoe",5700
"Biscoe",4450
"Biscoe",5700
"Biscoe",5400
"Biscoe",4550
"Biscoe",4800
"Biscoe",5200
"Biscoe",4400
"Biscoe",5150
"Biscoe",4650
"Biscoe",5550
"Biscoe",4650
"Biscoe",5850
"Biscoe",4200
"Biscoe",5850
"Biscoe",4150
"Biscoe",6300
"Biscoe",4800
"Biscoe",5350
"Biscoe",5700
"Biscoe",5000
"Biscoe",4400
"Biscoe",5050
"Biscoe",5000
"Biscoe",5100
"Biscoe",4100
"Biscoe",5650
"Biscoe",4600
"Biscoe",5550
"Biscoe",5250
"Biscoe",4700
"Biscoe",5050
"Biscoe",6050
"Biscoe",5150
"Biscoe",5400
"Biscoe",4950
"Biscoe",5250
"Biscoe",4350
"Biscoe",5350
"Biscoe",3950
"Biscoe",5700
"Biscoe",4300
"Biscoe",4750
"Biscoe",5550
"Biscoe",4900
"Biscoe",4200
"Biscoe",5400
"Biscoe",5100
"Biscoe",5300
"Biscoe",4850
"Biscoe",5300
"Biscoe",4400
"Biscoe",5000
"Biscoe",4900
"Biscoe",5050
"Biscoe",4300
"Biscoe",5000
"Biscoe",4450
"Biscoe",5550
"Biscoe",4200
"Biscoe",5300
"Biscoe",4400
"Biscoe",5650
"Biscoe",4700
"Biscoe",5700
"Biscoe",4650
"Biscoe",5800
"Biscoe",4700
"Biscoe",5550
"Biscoe",4750
"Biscoe",5000
"Biscoe",5100
"Biscoe",5200
"Biscoe",4700
"Biscoe",5800
"Biscoe",4600
"Biscoe",6000
"Biscoe",4750
"Biscoe",5950
"Biscoe",4625
"Biscoe",5450
"Biscoe",4725
"Biscoe",5350
"Biscoe",4750
"Biscoe",5600
"Biscoe",4600
"Biscoe",5300
"Biscoe",4875
"Biscoe",5550
"Biscoe",4950
"Biscoe",5400
"Biscoe",4750
"Biscoe",5650
"Biscoe",4850
"Biscoe",5200
"Biscoe",4925
"Biscoe",4875
"Biscoe",4625
"Biscoe",5250
"Biscoe",4850
"Biscoe",5600
"Biscoe",4975
"Biscoe",5500
"Biscoe",4725
"Biscoe",5500
"Biscoe",4700
"Biscoe",5500
"Biscoe",4575
"Biscoe",5500
"Biscoe",5000
"Biscoe",5950
"Biscoe",4650
"Biscoe",5500
"Biscoe",4375
"Biscoe",5850
"Biscoe",4875
"Biscoe",6000
"Biscoe",4925
"Biscoe",4850
"Biscoe",5750
"Biscoe",5200
"Biscoe",5400
"Dream",3500
"Dream",3900
"Dream",3650
"Dream",3525
"Dream",3725
"Dream",3950
"Dream",3250
"Dream",3750
"Dream",4150
"Dream",3700
"Dream",3800
"Dream",3775
"Dream",3700
"Dream",4050
"Dream",3575
"Dream",4050
"Dream",3300
"Dream",3700
"Dream",3450
"Dream",4400
"Dream",3600
"Dream",3400
"Dream",2900
"Dream",3800
"Dream",3300
"Dream",4150
"Dream",3400
"Dream",3800
"Dream",3700
"Dream",4550
"Dream",3200
"Dream",4300
"Dream",3350
"Dream",4100
"Dream",3600
"Dream",3900
"Dream",3850
"Dream",4800
"Dream",2700
"Dream",4500
"Dream",3950
"Dream",3650
"Dream",3550
"Dream",3500
"Dream",3675
"Dream",4450
"Dream",3400
"Dream",4300
"Dream",3250
"Dream",3675
"Dream",3325
"Dream",3950
"Dream",3600
"Dream",4050
"Dream",3350
"Dream",3450
"Dream",3250
"Dream",4050
"Dream",3800
"Dream",3525
"Dream",3950
"Dream",3650
"Dream",3650
"Dream",4000
"Dream",3400
"Dream",3775
"Dream",4100
"Dream",3775
